R:, G:, B:
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
187, 189, 190
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
221, 46, 68
221, 46, 68
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
221, 46, 68
221, 46, 68
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
120, 122, 123
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
221, 46, 68
221, 46, 68
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
244, 247, 249
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
221, 46, 68
221, 46, 68
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
39, 39, 39
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
221, 46, 68
221, 46, 68
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
200, 203, 204
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
221, 46, 68
221, 46, 68
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
221, 46, 68
221, 46, 68
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
103, 104, 105
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
221, 46, 68
221, 46, 68
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
221, 46, 68
221, 46, 68
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
8, 8, 8
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
221, 46, 68
221, 46, 68
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
200, 203, 205
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
221, 46, 68
221, 46, 68
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
221, 46, 68
221, 46, 68
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
221, 46, 68
221, 46, 68
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
167, 169, 171
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
221, 46, 68
221, 46, 68
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
221, 46, 68
221, 46, 68
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
5, 6, 6
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
221, 46, 68
221, 46, 68
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
114, 115, 116
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
221, 46, 68
221, 46, 68
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
242, 245, 247
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
221, 46, 68
221, 46, 68
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
221, 46, 68
221, 46, 68
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
73, 74, 74
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
221, 46, 68
221, 46, 68
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
243, 246, 248
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
221, 46, 68
221, 46, 68
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
221, 46, 68
221, 46, 68
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
221, 46, 68
221, 46, 68
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
121, 123, 123
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
221, 46, 68
221, 46, 68
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
221, 46, 68
221, 46, 68
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
221, 46, 68
221, 46, 68
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
27, 28, 28
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
221, 46, 68
221, 46, 68
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
230, 233, 234
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
221, 46, 68
221, 46, 68
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
221, 46, 68
221, 46, 68
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
215, 217, 219
92, 93, 94
207, 209, 211
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
221, 46, 68
221, 46, 68
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
131, 133, 134
1, 1, 1
0, 0, 0
1, 1, 1
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
221, 46, 68
221, 46, 68
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
2, 2, 2
0, 0, 0
0, 0, 0
0, 0, 0
33, 33, 33
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
157, 159, 161
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
221, 46, 68
221, 46, 68
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
237, 240, 242
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
243, 246, 248
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
221, 46, 68
221, 46, 68
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
81, 82, 83
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
45, 46, 47
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
221, 46, 68
221, 46, 68
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
221, 46, 68
221, 46, 68
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
243, 246, 248
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
4, 0, 1
221, 46, 68
221, 46, 68
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
237, 240, 242
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
176, 178, 180
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
100, 101, 102
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
221, 46, 68
221, 46, 68
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
102, 103, 104
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
126, 127, 128
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
221, 46, 68
221, 46, 68
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
20, 21, 21
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
243, 246, 248
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
1, 0, 0
221, 46, 68
221, 46, 68
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
244, 247, 249
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
5, 1, 1
221, 46, 68
221, 46, 68
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
219, 221, 223
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
221, 46, 68
221, 46, 68
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
94, 95, 96
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
221, 46, 68
221, 46, 68
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
25, 26, 26
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
221, 46, 68
221, 46, 68
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
12, 12, 12
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
221, 46, 68
221, 46, 68
245, 248, 250
245, 248, 250
245, 248, 250
227, 230, 232
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
2, 0, 0
221, 46, 68
221, 46, 68
245, 248, 250
245, 248, 250
245, 248, 250
232, 235, 236
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
42, 42, 42
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
221, 46, 68
221, 46, 68
245, 248, 250
245, 248, 250
245, 248, 250
244, 247, 249
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
0, 0, 0
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
245, 248, 250
